x,y
-0.0052688,0.05627952
-0.000741425,0.026705042
0.035697321,-0.006299065
0.055809631,-0.039141465
0.041886603,-0.033360456
-0.0215263,0.047487948
-0.007555235,0.016465546
-0.011506776,0.018898299
-0.007366348,0.063827754
-0.005878442,0.054443234
-0.018687625,0.063569093
-0.015607072,0.049879657
-0.019136844,0.042426404
0.076624069,-0.031993852
-0.006799976,0.012680575
-0.016918736,0.050136207
0.053779766,-0.01446568
-0.035208937,-0.005296543
0.04533173,-0.038789949
-0.009340733,0.017139942
0.045245786,-0.045856238
0.002499296,0.020198663
-0.012789171,0.057917443
-0.004012746,0.029944477
-0.013321185,0.010663916
-0.018209416,0.059247362
-0.009728231,0.052693529
-0.0371509,-0.01388112
-0.007926091,0.007970644
-0.024114296,0.001568744
-0.012504136,0.016638533
-0.006903098,0.053659198
-0.031384325,0.006916371
-0.007075943,0.062790508
-0.010049337,0.066197564
-0.001104604,0.020716968
0.153340586,-0.168049855
0.038626818,-0.054482214
-0.008309043,0.052642207
-0.017633913,0.013842551
-0.002909865,0.061645607
0.035971214,-0.040873997
-0.007492061,0.067112702
0.194439585,-0.181712335
-0.013250069,0.057637207
-0.00860159,0.013397626
-0.000975689,0.019674965
-0.00074326,0.029044804
-0.017096629,0.008290092
-0.023321989,0.00917767
-0.581284291,-0.470312842
-0.031281312,0.05519553
-0.019721161,0.042677466
-0.004225531,0.033103668
-0.015009549,0.073759412
-0.019404017,0.013105045
0.046491727,-0.043370583
0.044330088,-0.065370183
-0.015229748,0.053506837
0.035958957,-0.066019468
-0.026201965,0.038824385
-0.031813577,-0.005110919
-0.000617798,0.026827609
0.045385378,-0.006638679
-0.052683608,-0.020042881
-0.053525787,-0.018478419
-0.005524405,0.019412745
0.043651266,-0.038772793
-0.013120172,0.047513687
-0.018548823,0.011005635
0.03455362,-0.007434217
0.049563995,-0.053831853
-0.002751087,0.023951381
0.051534419,-0.003593939
-0.011211207,0.04996134
-0.008690291,0.015258729
-0.000602325,0.058928139
-0.015660304,0.011672346
0.026807202,-0.051973248
-0.021622263,0.04926464
-0.012647259,-0.044641454
-0.01754983,0.051846489
-0.004360405,0.055846801
0.042626818,-0.048616536
-0.004481593,0.052223049
-0.018098806,0.001785919
-0.028318573,0.044705815
0.037397692,-0.063005854
-0.009099043,0.014133771
0.052606532,-0.032608479
-0.003414384,0.010555099
-0.02718293,0.00110655
-0.041740268,-0.011140034
-0.001835151,0.024777339
-0.041103707,-0.008301916
-0.006517837,0.019539696
0.171511064,-0.16199436
-0.002710148,0.018104263
-0.027560584,0.006172317
0.040116771,-0.050330203
-0.006128108,0.063548928
-0.02412755,-0.002475103
-0.025774738,0.01940259
-0.005453017,0.012700874
-0.02025449,0.041574583
-0.013682865,0.042372631
-0.04891474,0.012643412
0.126473651,-0.16529908
-0.027400346,-0.000492991
0.139441168,-0.125155325
-0.014921779,0.07244137
0.16166736,-0.149232973
-0.004041417,0.063022377
-0.006628979,0.035688698
-0.039839479,-0.007465928
-0.001361263,-0.06980038
-0.013628046,0.051631793
-0.006206911,0.026740616
-0.020087028,0.051703982
-0.0218808,0.006392791
-0.009256216,0.01424518
-0.039047804,-0.004213116
0.002891721,-0.089491699
-0.00033643,0.024799371
-0.005538471,0.022624904
-0.013142887,0.074009674
0.002724044,0.024967334
-0.037280652,-0.018895402
0.00237227,0.021338773
-0.018734849,0.046325171
-0.025427987,0.019065535
0.012278813,-0.032864104
-0.002326968,0.057545762
-0.367996145,-0.286769092
-0.021005061,0.044967123
-0.030085948,0.049267767
-0.003971671,0.056244192
-0.004285224,0.019148054
-0.022898614,0.039951624
0.051109021,-0.045492639
-0.002260365,0.061118365
-0.014790736,0.065741083
-0.009772026,0.060494817
0.23144833,-0.193917828
-0.017987312,0.050419817
-0.010938058,0.006618494
0.002140446,0.015378637
0.046442419,-0.105759894
-0.009668884,0.015864079
0.000953455,0.025810968
0.057699561,-0.037560223
-0.008066063,0.049587456
0.145768003,-0.157893372
-0.007339876,0.008548109
0.033537471,-0.04727039
-0.024843713,0.044487585
-0.009944129,0.050206417
-0.008487477,0.053497602
-0.011173962,0.051212517
-0.016019493,0.01058741
-0.009443088,0.066746472
-0.014909672,0.055315548
-0.020652553,0.003375051
-0.279713145,-0.214284106
-0.040931497,0.027369588
0.037744706,-0.007206119
-0.036294847,0.01000009
-0.014989787,0.019352444
-0.014637553,0.069275569
0.054478502,-0.031103901
0.184068322,-0.172474084
-0.003787466,0.016041644
-0.001606461,0.060409686
0.239217692,-0.221607317
-0.004444511,0.024980445
0.039638957,-0.051372503
0.03426984,-0.051383492
0.040413013,-0.057867253
0.001749772,0.023139452
-9.00E-05,0.019325572
0.151977896,-0.152525608
0.044879512,-0.033068679
-0.001429957,0.055914478
-0.0238,0.040872386
-0.0068534,0.028634813
0.029819808,-0.058704342
-0.015990974,0.048222687
0.049564047,-0.054588365
-0.032051786,0.046368394
-0.005642576,0.031927654
0.00097452,0.024704068
-0.029931862,0.003383618
-0.025190077,0.039555927
-0.02629436,-0.004369334
-0.03717694,0.001734304
-0.029035759,0.038875663
-0.009349615,0.007196783
-0.016825184,0.005441193
